,Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
83,EMP0084,26,Female,Project Manager,Healthcare,15,Hybrid,43,6,4,High,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,3,No Physical Activity,Poor,Europe
84,EMP0085,56,Male,Designer,Retail,9,Hybrid,42,14,4,Low,No mental health conditions,Yes,Decrease,2,Unsatisfied,5,No Physical Activity,Good,Oceania
85,EMP0086,50,Male,Designer,Finance,20,Hybrid,44,8,4,Low,Depression/Anxiety/Burnout,No,No Change,2,Unsatisfied,4,Daily,Poor,Asia
86,EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,1,Low,Depression/Anxiety/Burnout,No,Decrease,1,Satisfied,1,Weekly,Poor,North America
87,EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,1,Medium,No mental health conditions,Yes,Increase,2,Unsatisfied,2,Weekly,Poor,Africa
88,EMP0089,24,Female,Designer,Consulting,11,Remote,38,0,5,High,Depression/Anxiety/Burnout,Yes,Increase,5,Neutral,2,No Physical Activity,Poor,North America
89,EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,4,Low,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,4,Daily,Poor,Oceania
90,EMP0091,57,Female,Data Scientist,Retail,2,Onsite,57,4,4,Medium,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,2,Weekly,Average,Africa
91,EMP0092,22,Female,Software Engineer,Manufacturing,9,Onsite,60,3,1,High,Depression/Anxiety/Burnout,No,Decrease,3,Satisfied,5,Weekly,Good,South America
92,EMP0093,41,Male,Data Scientist,IT,31,Onsite,29,0,5,Medium,Depression/Anxiety/Burnout,No,Increase,3,Satisfied,5,No Physical Activity,Poor,Asia
93,EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,54,12,4,High,Depression/Anxiety/Burnout,Yes,Decrease,2,Satisfied,4,No Physical Activity,Average,Europe
94,EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,31,11,5,High,No mental health conditions,No,Decrease,2,Neutral,4,Weekly,Average,Africa
95,EMP0096,44,Female,Project Manager,Manufacturing,2,Remote,54,8,5,Low,Depression/Anxiety/Burnout,No,Decrease,1,Satisfied,3,No Physical Activity,Good,Asia
96,EMP0097,35,Male,Data Scientist,Healthcare,31,Hybrid,33,11,1,High,Depression/Anxiety/Burnout,No,Decrease,5,Neutral,5,Weekly,Poor,Africa
97,EMP0098,48,Male,Designer,IT,32,Hybrid,25,1,4,Low,Depression/Anxiety/Burnout,No,Increase,4,Neutral,3,Weekly,Average,South America
98,EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,1,Low,Depression/Anxiety/Burnout,No,No Change,4,Satisfied,5,Daily,Good,Asia
99,EMP0100,53,Male,Project Manager,IT,12,Hybrid,45,10,2,Medium,No mental health conditions,No,Decrease,3,Satisfied,4,Daily,Good,Africa
100,EMP0101,32,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,1,Medium,Depression/Anxiety/Burnout,No,Increase,5,Satisfied,1,No Physical Activity,Poor,Asia
101,EMP0102,33,Prefer not to say,Sales,Consulting,9,Hybrid,46,12,1,High,Depression/Anxiety/Burnout,No,Increase,2,Neutral,2,Daily,Poor,Africa
102,EMP0103,45,Prefer not to say,Sales,IT,3,Hybrid,22,9,4,High,Depression/Anxiety/Burnout,No,No Change,4,Satisfied,4,No Physical Activity,Good,Africa
103,EMP0104,50,Male,Software Engineer,Finance,18,Hybrid,60,12,4,High,Depression/Anxiety/Burnout,Yes,Increase,4,Satisfied,5,No Physical Activity,Good,Africa
104,EMP0105,41,Female,Designer,Education,30,Hybrid,42,2,4,Low,Depression/Anxiety/Burnout,Yes,Decrease,4,Satisfied,3,Weekly,Average,Africa
105,EMP0106,43,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,3,High,Depression/Anxiety/Burnout,Yes,Increase,3,Neutral,3,Daily,Good,South America
106,EMP0107,29,Prefer not to say,HR,IT,25,Onsite,35,14,1,Medium,Depression/Anxiety/Burnout,Yes,Decrease,4,Neutral,2,Daily,Good,South America
107,EMP0108,44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,2,High,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,5,Weekly,Poor,Europe
108,EMP0109,50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,4,Medium,Depression/Anxiety/Burnout,No,No Change,1,Satisfied,2,Weekly,Poor,Oceania
109,EMP0110,36,Male,Data Scientist,Finance,4,Remote,22,7,5,Low,Depression/Anxiety/Burnout,No,No Change,1,Neutral,5,Daily,Good,Asia
110,EMP0111,34,Female,Data Scientist,Education,29,Hybrid,29,13,3,High,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,5,Weekly,Average,Africa
111,EMP0112,49,Male,HR,Finance,30,Remote,34,8,5,Low,Depression/Anxiety/Burnout,No,Decrease,5,Unsatisfied,1,Weekly,Good,Africa
112,EMP0113,45,Female,Marketing,Retail,10,Remote,30,7,1,Low,Depression/Anxiety/Burnout,Yes,Increase,1,Satisfied,5,No Physical Activity,Poor,Europe
113,EMP0114,45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,3,Low,No mental health conditions,Yes,Decrease,1,Neutral,5,Daily,Poor,Europe
114,EMP0115,53,Female,Designer,Healthcare,25,Remote,29,5,2,High,Depression/Anxiety/Burnout,No,No Change,5,Neutral,3,No Physical Activity,Poor,Oceania
115,EMP0116,29,Male,Marketing,Education,35,Onsite,27,1,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,3,Unsatisfied,3,Weekly,Good,South America
116,EMP0117,34,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,3,Medium,Depression/Anxiety/Burnout,No,Increase,5,Satisfied,3,Daily,Good,North America
117,EMP0118,58,Female,Data Scientist,Education,25,Remote,42,13,2,High,Depression/Anxiety/Burnout,No,Increase,5,Satisfied,3,Daily,Good,Europe
118,EMP0119,38,Female,Data Scientist,Manufacturing,1,Hybrid,22,4,2,Medium,Depression/Anxiety/Burnout,Yes,Increase,5,Satisfied,3,Daily,Average,Europe
119,EMP0120,40,Prefer not to say,Project Manager,Consulting,27,Hybrid,34,13,2,Medium,No mental health conditions,Yes,Decrease,2,Unsatisfied,5,Daily,Average,Africa
120,EMP0121,45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,2,High,Depression/Anxiety/Burnout,No,Decrease,2,Neutral,5,Daily,Average,South America
121,EMP0122,43,Non-binary,Marketing,Retail,18,Hybrid,48,6,5,High,Depression/Anxiety/Burnout,Yes,No Change,2,Unsatisfied,3,No Physical Activity,Good,Europe
122,EMP0123,50,Male,Software Engineer,Healthcare,35,Onsite,30,10,2,High,Depression/Anxiety/Burnout,Yes,No Change,3,Unsatisfied,1,No Physical Activity,Good,Africa
123,EMP0124,58,Prefer not to say,Sales,Consulting,14,Onsite,59,7,2,Low,No mental health conditions,Yes,Increase,1,Satisfied,5,Weekly,Average,North America
124,EMP0125,42,Non-binary,HR,Manufacturing,27,Remote,26,14,2,High,Depression/Anxiety/Burnout,Yes,No Change,1,Unsatisfied,4,Daily,Average,South America
125,EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,3,Low,Depression/Anxiety/Burnout,No,Increase,5,Unsatisfied,4,No Physical Activity,Average,South America
126,EMP0127,36,Female,Marketing,Retail,8,Onsite,38,2,2,Medium,Depression/Anxiety/Burnout,Yes,Decrease,2,Unsatisfied,1,Daily,Good,North America
127,EMP0128,51,Female,Project Manager,Finance,21,Remote,34,0,5,High,No mental health conditions,Yes,Decrease,2,Unsatisfied,2,No Physical Activity,Average,Europe
128,EMP0129,27,Female,Designer,Consulting,15,Onsite,46,12,4,Medium,Depression/Anxiety/Burnout,No,No Change,2,Unsatisfied,2,Daily,Poor,Europe
129,EMP0130,22,Female,Sales,Retail,21,Hybrid,35,2,3,Low,No mental health conditions,Yes,Decrease,5,Unsatisfied,3,No Physical Activity,Average,Oceania
130,EMP0131,32,Female,Designer,Education,16,Remote,23,9,1,Medium,No mental health conditions,No,No Change,5,Neutral,5,Weekly,Good,Africa
131,EMP0132,32,Female,Marketing,Manufacturing,26,Remote,28,15,5,Low,Depression/Anxiety/Burnout,Yes,Increase,2,Unsatisfied,4,Weekly,Average,Africa
132,EMP0133,53,Male,Marketing,Retail,4,Onsite,57,10,3,Medium,No mental health conditions,No,No Change,4,Neutral,2,Weekly,Good,South America
133,EMP0134,26,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,1,Low,No mental health conditions,Yes,Decrease,4,Satisfied,2,Weekly,Good,Europe
134,EMP0135,60,Male,Marketing,Finance,2,Hybrid,39,1,4,Medium,No mental health conditions,No,Increase,5,Unsatisfied,2,Weekly,Poor,Oceania
135,EMP0136,51,Non-binary,Marketing,IT,26,Remote,46,4,5,Medium,Depression/Anxiety/Burnout,No,Increase,4,Unsatisfied,5,No Physical Activity,Good,Oceania
136,EMP0137,44,Male,Data Scientist,Healthcare,14,Remote,26,9,2,High,Depression/Anxiety/Burnout,No,No Change,4,Neutral,5,Daily,Good,South America
137,EMP0138,48,Non-binary,Sales,IT,10,Remote,32,4,4,Medium,No mental health conditions,Yes,No Change,5,Satisfied,5,Weekly,Poor,Oceania
138,EMP0139,57,Non-binary,Data Scientist,Education,34,Remote,30,11,3,High,No mental health conditions,No,Increase,3,Unsatisfied,5,No Physical Activity,Poor,North America
139,EMP0140,49,Non-binary,Project Manager,Education,11,Hybrid,48,3,5,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,1,Weekly,Average,Asia
140,EMP0141,32,Non-binary,Project Manager,Education,12,Onsite,44,13,1,High,Depression/Anxiety/Burnout,Yes,Decrease,1,Satisfied,5,Weekly,Poor,Africa
141,EMP0142,49,Female,Project Manager,Healthcare,29,Hybrid,49,15,5,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,4,No Physical Activity,Poor,Asia
142,EMP0143,23,Female,Designer,Manufacturing,11,Hybrid,23,0,5,High,No mental health conditions,No,No Change,2,Unsatisfied,1,Weekly,Poor,Europe
143,EMP0144,55,Prefer not to say,Designer,Finance,3,Onsite,33,6,5,Low,Depression/Anxiety/Burnout,No,No Change,4,Satisfied,2,Daily,Good,North America
144,EMP0145,47,Non-binary,HR,Education,18,Remote,35,15,5,High,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,2,Daily,Average,Asia
145,EMP0146,48,Non-binary,Marketing,Consulting,5,Remote,41,8,3,Medium,Depression/Anxiety/Burnout,Yes,Decrease,4,Satisfied,4,Weekly,Poor,Europe
146,EMP0147,36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,34,12,2,Low,Depression/Anxiety/Burnout,No,Increase,4,Neutral,3,Daily,Average,Africa
147,EMP0148,45,Male,Designer,Finance,14,Remote,44,10,1,Low,Depression/Anxiety/Burnout,Yes,No Change,1,Unsatisfied,5,Daily,Average,North America
148,EMP0149,41,Female,Designer,IT,10,Onsite,52,8,4,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Satisfied,4,Daily,Good,Oceania
149,EMP0150,50,Male,Designer,Consulting,17,Onsite,57,11,2,Low,Depression/Anxiety/Burnout,Yes,Decrease,1,Unsatisfied,3,Weekly,Good,Oceania
150,EMP0151,41,Female,Software Engineer,Consulting,34,Remote,32,15,3,High,Depression/Anxiety/Burnout,Yes,Decrease,2,Unsatisfied,3,Weekly,Average,Oceania
151,EMP0152,57,Female,Designer,Consulting,20,Remote,31,6,4,Low,Depression/Anxiety/Burnout,No,No Change,3,Satisfied,4,Daily,Poor,Oceania
152,EMP0153,30,Male,Software Engineer,Healthcare,29,Hybrid,58,15,1,Medium,Depression/Anxiety/Burnout,No,Increase,2,Unsatisfied,2,Weekly,Poor,Africa
153,EMP0154,23,Female,Data Scientist,Consulting,31,Remote,26,9,1,Medium,Depression/Anxiety/Burnout,Yes,No Change,2,Unsatisfied,2,No Physical Activity,Poor,Asia
154,EMP0155,30,Male,Software Engineer,Consulting,17,Remote,57,5,1,Low,No mental health conditions,Yes,No Change,2,Unsatisfied,4,Weekly,Average,North America
155,EMP0156,47,Female,Project Manager,Healthcare,31,Onsite,20,8,1,Low,No mental health conditions,No,Decrease,4,Neutral,1,No Physical Activity,Good,North America
156,EMP0157,33,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,4,High,No mental health conditions,No,Decrease,1,Satisfied,2,Weekly,Average,South America
157,EMP0158,32,Male,Data Scientist,Finance,21,Hybrid,43,15,3,High,Depression/Anxiety/Burnout,No,No Change,4,Neutral,3,Weekly,Good,North America
158,EMP0159,43,Male,Designer,Manufacturing,6,Onsite,50,14,3,Low,Depression/Anxiety/Burnout,Yes,Increase,1,Unsatisfied,3,Daily,Average,South America
159,EMP0160,43,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,5,High,Depression/Anxiety/Burnout,No,Increase,2,Satisfied,3,Weekly,Good,Oceania
160,EMP0161,35,Female,Marketing,IT,34,Hybrid,37,1,4,Medium,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,1,No Physical Activity,Average,Africa
